QmHash/bafyHash
Paste in a CID or IPFS path
Inspect
Browse

Files/
RO_R....csv
399KiB
FILES
230MiB
ALL BLOCKS
More
NR_CRT,SIRUTA,JUDET,UAT,TIP_PROPRIETATE,NUMAR_IMOBILE_TEREN,SUPRAFATA_CADASTRATA_HA,SUPRAFATA_UAT_HA,NR_APARTAMENTE
1,1151,ALBA,Abrud,extravilan,152,228.5839,3953.15,0
2,1151,ALBA,Abrud,intravilan,4376,3472.8673,3953.15,655
3,1213,ALBA,Aiud,extravilan,4485,2502.4521,13810.05,0
4,1213,ALBA,Aiud,intravilan,17163,5219.611,13810.05,4959
5,1017,ALBA,Alba Iulia,extravilan,5664,3726.4207,10248.43,0
6,1017,ALBA,Alba Iulia,intravilan,26694,3380.0295,10248.43,17215
7,2130,ALBA,Albac,extravilan,218,212.1125,5338.15,0
8,2130,ALBA,Albac,intravilan,3050,4239.6422,5338.15,20
9,2309,ALBA,Alma?u Mare,extravilan,362,319.1259,9595.98,0
10,2309,ALBA,Alma?u Mare,intravilan,1090,765.7159,9595.98,1
11,2381,ALBA,Arie?eni,extravilan,439,674.1534,9953.22,0
12,2381,ALBA,Arie?eni,intravilan,556,237.9489,9953.22,6
13,2577,ALBA,Avram Iancu,extravilan,387,813.076,9644.82,0
14,2577,ALBA,Avram Iancu,intravilan,1246,1843.4362,9644.82,11
15,2915,ALBA,Baia de Arie?,extravilan,171,74.349,8214.51,0
16,2915,ALBA,Baia de Arie?,intravilan,1251,580.5295,8214.51,209
17,2988,ALBA,Berghin,extravilan,4026,2457.2552,7551.41,0
18,2988,ALBA,Berghin,intravilan,856,218.2104,7551.41,9
19,3039,ALBA,Bistra,extravilan,741,996.3025,12711.16,0
20,3039,ALBA,Bistra,intravilan,2535,2078.0503,12711.16,12
21,1348,ALBA,Blaj,extravilan,2178,2565.803,9887.83,0
22,1348,ALBA,Blaj,intravilan,5932,857.0254,9887.83,2843
23,3397,ALBA,Blandiana,extravilan,300,202.8842,7448.23,0
24,3397,ALBA,Blandiana,intravilan,344,129.5434,7448.23,2
25,9026,ALBA,Bucerdea Granoasa,extravilan,635,829.3496,4179.9,0
26,9026,ALBA,Bucerdea Granoasa,intravilan,465,309.7491,4179.9,2
27,3459,ALBA,Bucium,extravilan,479,793.1774,8466.67,0
28,3459,ALBA,Bucium,intravilan,1612,1056.582,8466.67,3
29,3761,ALBA,Cenade,extravilan,1241,2450.1521,4456.94,0
30,3761,ALBA,Cenade,intravilan,255,135.2952,4456.94,8
31,3805,ALBA,Cergau,extravilan,440,609.781,4783.53,0
32,3805,ALBA,Cergau,intravilan,472,88.9131,4783.53,7
33,3841,ALBA,Ceru-Bacain?i,extravilan,14,9.9635,4721.88,0
34,3841,ALBA,Ceru-Bacain?i,intravilan,61,1006.378,4721.88,0
35,3958,ALBA,Cetatea de Balta,extravilan,3234,1798.1138,6454.57,0
36,3958,ALBA,Cetatea de Balta,intravilan,589,145.2492,6454.57,8
37,1071,ALBA,Ciugud,extravilan,1326,575.7277,4389.97,0
38,1071,ALBA,Ciugud,intravilan,4343,1166.8346,4389.97,9
39,4008,ALBA,Ciuruleasa,extravilan,561,554.9362,5443.43,0
40,4008,ALBA,Ciuruleasa,intravilan,104,69.3817,5443.43,0
41,4142,ALBA,Cricau,extravilan,1799,804.6987,5063.1,0
42,4142,ALBA,Cricau,intravilan,772,204.3751,5063.1,5
43,4188,ALBA,Craciunelu de Jos,extravilan,1088,1265.8162,2522.43,0
44,4188,ALBA,Craciunelu de Jos,intravilan,561,189.9195,2522.43,7
45,1696,ALBA,Cugir,extravilan,3220,6006.0459,32729.65,0
46,1696,ALBA,Cugir,intravilan,4491,6127.6482,32729.65,3204
47,9019,ALBA,Cut,extravilan,3016,971.6206,2743.54,0
48,9019,ALBA,Cut,intravilan,466,115.2201,2743.54,0
49,4106,ALBA,Calnic,extravilan,2984,1689.3757,4445.74,0
50,4106,ALBA,Calnic,intravilan,722,900.6309,4445.74,2
51,1455,ALBA,Campeni,extravilan,192,134.125,8808.88,0
52,1455,ALBA,Campeni,intravilan,3865,2418.4707,8808.88,707
53,4240,ALBA,Daia Romana,extravilan,277,161.3565,4136.55,0
54,4240,ALBA,Daia Romana,intravilan,1374,328.3603,4136.55,8
55,4268,ALBA,Do?tat,extravilan,731,721.4794,4304.95,0
56,4268,ALBA,Do?tat,intravilan,393,316.931,4304.95,3
57,4302,ALBA,Farau,extravilan,140,339.8383,8187.87,0
58,4302,ALBA,Farau,intravilan,344,241.0792,8187.87,9
59,4366,ALBA,Galda de Jos,extravilan,1712,1767.8729,10125.58,0
60,4366,ALBA,Galda de Jos,intravilan,2411,1094.4896,10125.58,44
61,4482,ALBA,Garbova,extravilan,3578,1377.1796,5779.1,0
62,4482,ALBA,Garbova,intravilan,3610,1658.8387,5779.1,6
63,4525,ALBA,Garda de Sus,extravilan,548,909.4404,7804.81,0
64,4525,ALBA,Garda de Sus,intravilan,414,253.3657,7804.81,0
65,4703,ALBA,Hoparta,extravilan,1560,1093.2158,5947.21,0
66,4703,ALBA,Hoparta,intravilan,298,214.7751,5947.21,2
67,4767,ALBA,Horea,extravilan,5988,5247.4628,5856.7,0
68,4767,ALBA,Horea,intravilan,1185,642.2081,5856.7,2
69,4927,ALBA,Ighiu,extravilan,1470,1115.6277,12951.58,0
70,4927,ALBA,Ighiu,intravilan,9135,3747.3362,12951.58,20
71,5103,ALBA,Jidvei,extravilan,4949,4444.8602,10439.4,0
72,5103,ALBA,Jidvei,intravilan,959,238.1428,10439.4,43
73,5167,ALBA,Livezile,extravilan,641,255.5117,6914.01,0
74,5167,ALBA,Livezile,intravilan,965,565.0056,6914.01,2
75,5210,ALBA,Lopadea Noua,extravilan,580,935.9792,9275.4,0
76,5210,ALBA,Lopadea Noua,intravilan,738,594.0592,9275.4,12
77,5309,ALBA,Lunca Mure?ului,extravilan,877,1121.3011,3149.27,0
78,5309,ALBA,Lunca Mure?ului,intravilan,483,199.077,3149.27,11
79,5336,ALBA,Lup?a,extravilan,1093,1082.6548,12140.4,0
80,5336,ALBA,Lup?a,intravilan,1626,1047.1284,12140.4,10
81,5577,ALBA,Mete?,extravilan,731,482.4244,14356.95,0
82,5577,ALBA,Mete?,intravilan,1824,1601.7077,14356.95,1
83,5700,ALBA,Mihal?,extravilan,1988,2325.0368,6514.29,0
84,5700,ALBA,Mihal?,intravilan,1154,583.3655,6514.29,0
85,5755,ALBA,Miraslau,extravilan,1722,1125.5658,6665.54,0
